Title,Authors,Year,Publication Link,Author Profile Links
Insider Trading before Earnings News: The Role of Executive Pay Disparity,"['Le, V.']",6 Oct 2024,https://pureportal.coventry.ac.uk/en/publications/insider-trading-before-earnings-news-the-role-of-executive-pay-di,['https://pureportal.coventry.ac.uk/en/persons/viet-le']
"National culture, religiosity, and audited financial statements of small-scale MNCs","['Brahmana, R. K.']",30 May 2024,https://pureportal.coventry.ac.uk/en/publications/national-culture-religiosity-and-audited-financial-statements-of-,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
Performance measurement in urban development: unfolding a case of sustainability KPIs reporting,"['Alsaid, L.']",9 Feb 2024,https://pureportal.coventry.ac.uk/en/publications/performance-measurement-in-urban-development-unfolding-a-case-of-,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
Performance of shariah-compliant and non-shariah-compliant ETFs: a comparative study,"['Hasan, R.']",30 Sept 2024,https://pureportal.coventry.ac.uk/en/publications/performance-of-shariah-compliant-and-non-shariah-compliant-etfs-a,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
Students’ development of employability skills through an online international hackathon,"['Bello, J.']",22 May 2024,https://pureportal.coventry.ac.uk/en/publications/students-development-of-employability-skills-through-an-online-in,['https://pureportal.coventry.ac.uk/en/persons/jaliyyah-bello']
Sustainability Management Accounting in Urban Development: A Case Study of an Egyptian State-Owned Enterprise,"['Alsaid, L.']",22 Sept 2024,https://pureportal.coventry.ac.uk/en/publications/sustainability-management-accounting-in-urban-development-a-case-,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
The cyclicality of the finance premium over the business cycle,"['Kalubowila, C. D.']",15 Nov 2024,https://pureportal.coventry.ac.uk/en/publications/the-cyclicality-of-the-finance-premium-over-the-business-cycle,['https://pureportal.coventry.ac.uk/en/persons/chashika-dilhara-kalubowila']
"The Finance Growth Nexus, Institutions Matter: Evidence from The A10 Countries of The Eu","['Udeogu, E.']",10 Dec 2024,https://pureportal.coventry.ac.uk/en/publications/the-finance-growth-nexus-institutions-matter-evidence-from-the-a1,['https://pureportal.coventry.ac.uk/en/persons/ejike-udeogu']
The global financial crisis impact on stock market efficiency: a Fourier unit root tests analysis,"['E-Vahdati, S.']",1 Sept 2024,https://pureportal.coventry.ac.uk/en/publications/the-global-financial-crisis-impact-on-stock-market-efficiency-a-f,['https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati']
"The Impact of Maoism on the Architectural Vocabulary, Urban Form and Structure in the Cities of China","['Huston, S.']",25 Jun 2024,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-maoism-on-the-architectural-vocabulary-urban-form-a,['https://pureportal.coventry.ac.uk/en/persons/simon-huston']
"The impact of the global financial crisis and the European sovereign debt crisis on the capital structure of firms in Europe: Do SMEs, and listed firms respond the same?","['Bvirindi, T.']",23 May 2024,https://pureportal.coventry.ac.uk/en/publications/the-impact-of-the-global-financial-crisis-and-the-european-sovere,['https://pureportal.coventry.ac.uk/en/persons/tinashe-bvirindi']
The Influence of Job Stress on Organizational Commitment Among Workers in the Palm Oil Industry: Does Job Satisfaction Matter?,"['E-Vahdati, S.']",31 May 2024,https://pureportal.coventry.ac.uk/en/publications/the-influence-of-job-stress-on-organizational-commitment-among-wo,['https://pureportal.coventry.ac.uk/en/persons/sahar-e-vahdati']
The interaction effect of board characteristics and ESG reporting on the financial performance of multinational enterprises: a quantile regression approach,"['Elmghaamez, I.']",8 May 2024,https://pureportal.coventry.ac.uk/en/publications/the-interaction-effect-of-board-characteristics-and-esg-reporting,['https://pureportal.coventry.ac.uk/en/persons/ibrahim-elmghaamez']
Triple-Entry Accounting and System Integration,"['Petratos, P.']",25 Jan 2024,https://pureportal.coventry.ac.uk/en/publications/triple-entry-accounting-and-system-integration,['https://pureportal.coventry.ac.uk/en/persons/pythagoras-petratos']
Vulnerability of a developing stock market to openness: one-way return and volatility transmissions,"['Ibrahim, M.']",May 2024,https://pureportal.coventry.ac.uk/en/publications/vulnerability-of-a-developing-stock-market-to-openness-one-way-re,['https://pureportal.coventry.ac.uk/en/persons/masud-ibrahim']
ABC as a multi-lens sustainability reporting system in smart cities,"['Alsaid, L.']",9 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/abc-as-a-multi-lens-sustainability-reporting-system-in-smart-citi,['https://pureportal.coventry.ac.uk/en/persons/loai-alsaid']
Assessing Plastic Circular Economy Policies and the Use of Digital Technology in Africa,"['Ajala, O.']",31 May 2023,https://pureportal.coventry.ac.uk/en/publications/assessing-plastic-circular-economy-policies-and-the-use-of-digita,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
Assessing the Determinants of Participation in the Circular Plastic Economy by Nigerian Students,"['Ajala, O.']",27 Apr 2023,https://pureportal.coventry.ac.uk/en/publications/assessing-the-determinants-of-participation-in-the-circular-plast,['https://pureportal.coventry.ac.uk/en/persons/olubunmi-ajala']
Assessing the Use of Gold as a Zero-Beta Asset in Empirical Asset Pricing: Application to the US Equity Market,[],15 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/assessing-the-use-of-gold-as-a-zero-beta-asset-in-empirical-asset,[]
Audit Committee and Dividend Policy of Financial Firms in Malaysia,"['Hasan, R.']",7 Dec 2023,https://pureportal.coventry.ac.uk/en/publications/audit-committee-and-dividend-policy-of-financial-firms-in-malaysi,['https://pureportal.coventry.ac.uk/en/persons/rashedul-hasan']
Ayondo Ltd. Corporate Governance Issues of First FinTech Company Listed on the Catalist Board of Singapore Exchange,"['Tiong, P. N. C.']",7 Dec 2023,https://pureportal.coventry.ac.uk/en/publications/ayondo-ltd-corporate-governance-issues-of-first-fintech-company-l,['https://pureportal.coventry.ac.uk/en/persons/paul-tiong']
Bank stock valuation theories: do they explain prices based on theories?,[],28 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/bank-stock-valuation-theories-do-they-explain-prices-based-on-the,[]
Benefits on the Margin from Public Spending across Healthcare Levels and Geopolitical Zones in Nigeria,"['Udeogu, E.']",Oct 2023,https://pureportal.coventry.ac.uk/en/publications/benefits-on-the-margin-from-public-spending-across-healthcare-lev,['https://pureportal.coventry.ac.uk/en/persons/ejike-udeogu']
Cash Holdings and R&D Intensity with Different Controlling Shareholders,"['Brahmana, R. K.']",24 Jan 2023,https://pureportal.coventry.ac.uk/en/publications/cash-holdings-and-rampd-intensity-with-different-controlling-shar,['https://pureportal.coventry.ac.uk/en/persons/rayenda-khresna-brahmana']
CEO Duality and Firm Performance: A Systematic Review and Research Agenda,"['Yu, M.']",1 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/ceo-duality-and-firm-performance-a-systematic-review-and-research,['https://pureportal.coventry.ac.uk/en/persons/mei-yu']
Competing Institutional Logics and Power Dynamics in Islamic Financial Reporting Standardisation Projects,[],10 Jan 2023,https://pureportal.coventry.ac.uk/en/publications/competing-institutional-logics-and-power-dynamics-in-islamic-fina,[]
Conceptualising Accounting as a Value-Based Concept in the Context of Alternative Finance,"['Alamad, S.']",29 Dec 2023,https://pureportal.coventry.ac.uk/en/publications/conceptualising-accounting-as-a-value-based-concept-in-the-contex,['https://pureportal.coventry.ac.uk/en/persons/samir-alamad']
